Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
28	0	-23.76553	0	-23.76553	8.001727	20.5905	0.0485768	0.411483	0.0975449	0.0394574	0.0766459	0.0451952	0.903049	0.348678	0.0517614	0.0924919	0.00599373	0.423667	0.0314591	0.267152	0.115222	0.116576	0.154437	0.272785	0.156827	-0.04293174	0.188484	0.159334	0.106047	0.0506671	0.222144	0.273325	8.509627	0.05492262	0.735425	0.915273	1.05706	1.29225	0.161078	0.42071	0.262082	0.15613	0.01199087	4.580368
29	1	-17.76882	0	-17.76882	8.116552	6.606867	0.119199	0.138262	0.0939524	0.0623144	0.156351	0.0145918	0.0530124	0.0143937	0.0299538	0.170171	0.0937356	0.0678109	0.330492	0.200973	0.109499	0.0375541	0.034289	0.0519414	0.07362447	0.08718558	0.288868	0.0714236	0.12935	0.142631	0.200072	0.167656	34.26897	0.05368363	0.55765	0.834507	1.07987	1.52797	0.410783	0.164863	0.0909257	0.333429	0.1408692	0.3810884
30	0	-24.94027	0	-24.94027	8.826912	31.58603	0.0206264	0.484403	0.108043	0.0949828	0.154859	0.154933	0.368043	0.354762	0.10415	0.333697	0.176102	0.000628791	0.223567	0.217925	0.157773	0.046378	0.0775158	0.0411594	0.2030121	0.004919818	0.241248	0.224326	0.0632891	0.0183381	0.326992	0.125806	13.6645	0.007083306	0.783762	0.933548	1.04839	1.2343	0.102614	0.662579	0.105696	0.129112	0.01200312	0.5901218
31	1	-12.20394	0	-12.20394	8.290824	10.32476	0.133491	0.0817939	0.19982	0.0733162	0.202456	0.00838114	0.0753047	0.0163758	0.0272606	0.170743	0.0607632	0.0135677	0.04777	0.0526953	0.0111072	0.0335967	0.082671	0.0686781	0.07457049	0.04117567	0.169194	0.0902124	0.101279	0.198281	0.159271	0.281764	20.48269	0.1513319	0.636722	0.873312	1.07169	1.41828	0.353882	0.141295	0.311731	0.193092	0.1925076	0.7861089
32	0	-17.14975	0	-17.14975	7.935234	35.99386	0.0253762	0.176047	0.533823	0.0423383	0.124655	0.0502266	0.115392	0.299374	0.0178731	0.227535	0.117378	0.013109	0.0604922	0.015641	0.0934476	0.0436031	0.0428546	0.259561	0.1617896	0.002390591	0.250112	0.309062	0.117149	0.0124798	0.19794	0.113258	10.31604	0.009734273	0.796798	0.938243	1.04591	1.21905	0.382505	0.354426	0.131678	0.13139	0.01212486	0.8028356
33	1	-12.06276	0	-12.06276	10.33564	6.856618	0.0454674	0.0951668	0.06012	0.0400621	0.131214	0.0208008	0.0342123	0.0226072	0.0313236	0.0095521	0.153054	0.0220167	0.249578	0.0867359	0.103348	0.0495286	0.0515532	0.111173	0.07186649	0.1742684	0.216863	0.204413	0.230817	0.156517	0.0513491	0.14004	37.62793	0.05161287	0.564693	0.838175	1.07929	1.51784	0.353046	0.19963	0.31037	0.136954	0.2258813	0.2284955
34	0	-10.65228	0	-10.65228	8.371058	28.556	0.00415154	0.0591648	0.0407129	0.0116398	0.0301051	0.0680503	0.129687	0.0730153	0.0176128	0.0344832	0.0695827	0.150227	0.17202	0.124268	0.0848839	0.277847	0.0164867	0.055034	0.0685072	-0.008057063	0.241382	0.336141	0.0656123	0.00772864	0.218421	0.130714	17.39001	0.02007544	0.773168	0.929661	1.05037	1.2468	0.349604	0.394232	0.198915	0.0572487	0.01201837	1.670395
35	1	-33.25945	0	-33.25945	10.49131	37.36738	0.15036	0.108873	0.239974	0.122174	0.122466	0.25988	0.152948	0.298284	0.232355	0.247215	0.162233	0.227139	0.0526311	0.301049	0.0438483	0.325061	0.386653	0.304947	0.15479	-0.02210911	0.122806	0.196265	0.284991	0.171943	0.0903298	0.133665	41.14914	0.1117193	0.800397	0.939522	1.04521	1.21487	0.252214	0.167708	0.527275	0.0528028	0.08961015	1.246725
36	0	-28.88645	0	-28.88645	14.7421	26.04927	0.0013153	0.0164332	0.0187007	0.315974	0.358601	0.461034	0.133998	0.440848	0.186445	0.0334923	0.244762	0.103526	0.0899118	0.0939998	0.0145679	0.18124	0.237644	0.36696	0.1449164	0.004421776	0.180846	0.204345	0.0585536	0.00475697	0.447103	0.104395	21.19561	0.009189734	0.763099	0.925906	1.05221	1.25879	0.641512	0.237873	0.0894481	0.0311667	0.01361151	0.6751443
37	1	-21.96459	0	-21.96459	5.542819	49.83272	0.134629	0.0364791	0.18033	0.11853	0.049012	0.10584	0.0825129	0.0685062	0.155561	0.0570776	0.0583962	0.219293	0.0187151	0.222094	0.0658103	0.127823	0.166791	0.0971401	0.126173	-0.212893	0.150005	0.121167	0.325861	0.184386	0.166824	0.0517569	48.06533	0.3437059	0.82612	0.948455	1.04009	1.18533	0.340094	0.524087	0.0777158	0.0581029	0.1308129	2.627462
38	0	-34.93179	0	-34.93179	14.39186	45.66659	0.0144208	0.0346768	0.209994	0.287318	0.221343	0.40595	0.0586594	0.0431543	0.0928948	0.0660072	0.283281	0.325175	0.294878	0.0877896	0.143166	0.140926	0.553749	0.665285	0.22265	-0.004012922	0.128276	0.12887	0.0399619	0.00467511	0.670459	0.027758	30.69943	0.01829672	0.818671	0.945906	1.0416	1.19383	0.529056	0.294978	0.114914	0.0610528	0.0142838	1.280942
39	1	-10.82476	0	-10.82476	5.377376	60.35656	0.146332	0.04458	0.111674	0.0910584	0.0949318	0.108385	0.0155219	0.0598497	0.0276437	0.0401185	0.229181	0.0843724	0.00710575	0.041978	0.0430025	0.00734807	0.025406	0.023931	0.09534265	-0.02427008	0.255755	0.0786912	0.277424	0.232944	0.0787155	0.0764707	10.62034	0.2968942	0.841458	0.953611	1.03693	1.168	0.408107	0.461092	0.0956531	0.0351471	0.2726242	1.089024
40	0	-22.03203	0	-22.03203	24.22719	65.05164	0.0539422	0.0415581	0.507	0.133913	0.177762	0.165634	0.0448981	0.0805778	0.210486	0.041821	0.315251	0.00481166	0.0193814	0.0600346	0.0221249	0.0541793	0.0327358	0.0346808	0.1191396	-0.04853931	0.30698	0.122674	0.0944888	0.00377355	0.437737	0.034347	41.58317	0.05543655	0.847096	0.955474	1.03575	1.16168	0.52896	0.375444	0.0477901	0.0478057	0.00689724	8.037497
41	1	-16.75153	0	-16.75153	9.175933	137.7791	0.0618542	0.219813	0.0810296	0.0558954	0.144808	0.042381	0.0088565	0.0392059	0.0712115	0.12822	0.433496	0.0348163	0.00754229	0.0683772	0.16942	0.0177631	0.0191949	0.219273	0.1550376	-0.01421965	0.288774	0.0882336	0.31324	0.131953	0.0701958	0.107604	37.04883	0.1275061	0.893882	0.970305	1.02555	1.11026	0.220724	0.471539	0.193257	0.11448	0.1132865	1.125519
42	0	-8.762013	0	-8.762013	9.227557	424.6902	0.0889583	0.0823901	0.081123	0.0260285	0.0553292	0.0844847	0.0434367	0.170935	0.047597	0.0116148	0.0614543	0.045329	0.0438472	0.020275	0.00747507	0.221502	0.0020362	0.17436	0.06703911	-0.01777825	0.345078	0.0431346	0.115963	0.00463617	0.479161	0.012027	18.14686	0.05465552	0.939011	0.98358	1.01507	1.06233	0.514098	0.190115	0.183932	0.111856	0.03687728	1.482092
43	1	-11.9286	0	-11.9286	6.037187	27.44958	0.0472721	0.261549	0.0253544	0.020574	0.160736	0.0120664	0.0820121	0.0685299	0.0611747	0.0425566	0.0430039	0.0891975	0.04812	0.146992	0.260569	0.020145	0.0233947	0.121772	0.07793024	0.01966192	0.257767	0.169183	0.227701	0.121396	0.201021	0.0229329	13.26197	0.1371906	0.768887	0.928072	1.05116	1.25189	0.558144	0.307268	0.05634	0.0782478	0.1568525	0.8746471
