Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
31	1	-3708.152	-3714.336	6.183769	0.5112931	0.1850658	0.147844	0.0634014	0.240209	0.159465	0.140279	0.136411	0.100914	0.471072	0.12561	0.0548561	0.272922	0.248238	0.260457	0.201243	0.0733255	0.11972	0.229894	0.0947371	0.1405963	0.009286234	0.0101781	0.556634	0.0108346	0.0100334	0.408999	0.00332049	0.003132638	-1.961862	0.000304245	0.0256285	0.343573	3.63049	0.288105	0.326444	0.128859	0.256592	0.01241887	0.2522482
32	0	-3705.717	-3705.622	-0.09413086	0.6056781	0.2135053	0.151373	0.113758	0.192879	0.127775	0.165646	0.139671	0.0352719	0.490756	0.223502	0.12333	0.132693	0.400741	0.376773	0.0444895	0.239441	0.0759726	0.228035	0.280311	0.1427812	0.04835991	0.0108362	0.459776	0.0123025	0.00524514	0.501574	0.0102662	0.0172583	-1.946442	0.000822062	0.0419119	0.417978	3.53929	0.301641	0.305081	0.138607	0.254671	0.06561821	0.2630109
33	1	-3711.628	-3707.249	-4.379245	0.5380089	0.192023	0.385428	0.270429	0.391513	0.193041	0.353634	0.1521	0.266367	0.54069	0.193831	0.0709738	0.301987	0.216934	0.2826	0.148453	0.0834396	0.0569302	0.390208	0.0862197	0.1523556	0.01425417	0.00994767	0.533416	0.0076641	0.0155566	0.430549	0.00286709	0.00380827	-1.881538	0.000398725	0.029304	0.36252	3.60778	0.310644	0.309269	0.125193	0.254894	0.01806244	0.2108392
34	0	-3708.611	-3710.185	1.574614	0.5945569	0.2030495	0.26684	0.0997402	0.287607	0.146425	0.167791	0.14683	0.0961721	0.593433	0.395429	0.197136	0.18484	0.218314	0.318314	0.0674885	0.16867	0.32873	0.11227	0.197728	0.1979486	0.00581909	0.0108717	0.461281	0.0131257	0.00664947	0.503216	0.00485595	0.01423396	-1.619748	0.000589238	0.0355531	0.39157	3.57229	0.300394	0.291029	0.141809	0.266768	0.02005305	0.7098152
35	1	-3703.732	-3706.195	2.463142	0.4562184	0.2417114	0.182333	0.0954211	0.432519	0.217016	0.269529	0.164075	0.135836	0.347219	0.193607	0.063999	0.202524	0.362027	0.140282	0.221058	0.125373	0.0743844	0.0323641	0.138898	0.1428826	0.01540081	0.0114401	0.547107	0.00718863	0.00689339	0.420433	0.00693733	0.001588695	-1.945732	0.00174771	0.0607728	0.483677	3.4538	0.299495	0.314162	0.128899	0.257444	0.01698951	0.09351034
36	0	-3716.247	-3711.883	-4.363243	0.5733845	0.2007787	0.174512	0.0808246	0.308002	0.136368	0.158668	0.126532	0.0791043	0.459374	0.213505	0.200236	0.325005	0.3734	0.151939	0.0756585	0.118204	1.51462	0.160027	0.223881	0.17792	-0.01131277	0.0109303	0.463769	0.0103478	0.00360949	0.505931	0.00541237	0.0210844	-1.726421	0.000545616	0.0342259	0.385687	3.57954	0.320145	0.288452	0.140553	0.25085	0.009771628	2.157716
37	1	-3702.449	-3706.803	4.353865	0.6341853	0.2125988	0.146812	0.0473801	0.292718	0.178795	0.212103	0.13172	0.105102	0.434867	0.250549	0.0467951	0.175566	0.385772	0.0713208	0.0893747	0.125582	0.0858334	0.0462522	0.134169	0.1328796	0.06960599	0.0100261	0.608037	0.00561072	0.00538029	0.362258	0.00868784	0.001537843	-2.018312	0.000799706	0.0413452	0.415733	3.54212	0.297808	0.300041	0.125627	0.276524	0.07114383	0.02161598
38	0	-3706.699	-3710.914	4.214875	0.6358684	0.1679506	0.261043	0.0946139	0.287586	0.111955	0.103195	0.079824	0.0643887	0.487068	0.165251	0.165182	0.31303	0.206008	0.18813	0.0654925	0.177798	0.0520315	0.180811	0.0498693	0.1561168	-0.00329069	0.00728057	0.531316	0.00994414	0.00429484	0.440785	0.0063791	0.01989474	-1.857151	0.000142154	0.0175671	0.295074	3.68722	0.29903	0.297571	0.127097	0.276303	0.01660405	1.198186
39	1	-3707.408	-3708.946	1.538405	0.4548677	0.2048063	0.121769	0.156008	0.299457	0.216291	0.170061	0.148537	0.299909	0.510452	0.196793	0.0387616	0.192158	0.373044	0.0706241	0.172204	0.200429	0.0917319	0.125406	0.217589	0.185428	0.08221851	0.0149269	0.489099	0.00647488	0.00553915	0.476337	0.0076237	0.00242305	-1.685089	0.000624632	0.0365935	0.396085	3.5667	0.290168	0.292343	0.131471	0.286018	0.08464156	0.02862719
40	0	-3705.552	-3709.094	3.542471	0.5479979	0.2261077	0.211496	0.0907762	0.408085	0.16552	0.183306	0.21556	0.0705703	0.47402	0.214763	0.126969	0.373817	0.197284	0.124687	0.0610434	0.128036	0.179031	0.0715143	0.0774844	0.1550775	-0.01539686	0.00951483	0.532474	0.0103229	0.00546756	0.437769	0.00445184	0.04157549	-1.86383	0.00117865	0.0500635	0.448323	3.50043	0.294146	0.302925	0.137847	0.265083	0.02617863	1.588146
