Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
420	-3718.598	-3708.131	-10.46685	0.2895929	0.1886083	0.175575	0.0789515	0.0702952	0.267859	0.320189	0.479996	0.32654	0.50771	0.149048	0.0445763	0.32975	0.0953115	0.525948	0.251607	0.308919	0.287312	0.00806143	0.58554	0.3368799	-0.02640553	0.0115322	0.55414	0.00575773	0.00928534	0.415895	0.003389	0.06611804	0.000350037	0.0274729	0.353279	3.6189	0.332176	0.29472	0.115618	0.257485	0.03971251	1.664917
430	-3716.346	-3708.356	-7.98982	0.4843481	0.1832819	0.161721	0.0872866	0.0377102	0.117751	0.165719	0.421295	0.409629	0.508977	0.203405	0.109664	0.331707	0.0501319	0.132657	0.113057	0.12575	0.28352	0.501287	0.309203	0.3269274	-0.1009077	0.013791	0.510014	0.0102237	0.00420636	0.45841	0.00335498	0.1025804	0.000282922	0.0247216	0.33864	3.63636	0.282109	0.335133	0.124902	0.257857	0.001672656	61.32784
440	-3708.515	-3708.935	0.4193119	0.6054623	0.2019495	0.182392	0.214547	0.147011	0.126395	0.130036	0.282172	0.206221	0.435354	0.142692	0.0733562	0.357929	0.0872874	0.0909371	0.073726	0.0970606	0.0746209	0.133982	0.225349	0.1368	0.001798623	0.0124618	0.503406	0.00676356	0.00325769	0.461956	0.0121549	0.004289373	0.00056781	0.0349077	0.388727	3.5758	0.295795	0.308089	0.128001	0.268115	0.006087996	0.7045624
450	-3724.705	-3713.575	-11.12907	0.25664	0.2189148	0.0956103	0.306621	0.170628	0.427098	0.30165	0.542473	0.389771	0.504573	0.129245	0.0492886	0.186138	0.224467	0.207564	0.174678	0.629847	0.0171971	0.105008	0.25423	0.2767426	-0.3381957	0.0214163	0.504647	0.0065897	0.0059384	0.454429	0.00697882	0.3385843	0.000964463	0.0453502	0.431202	3.52248	0.318411	0.294589	0.126985	0.260016	0.0003885901	871.3149
460	-3718.282	-3705.489	-12.79259	0.2962339	0.1821317	0.312267	0.132298	0.060494	0.252671	0.393315	0.696919	0.355866	0.566944	0.22248	0.102424	0.0503144	0.253896	0.914677	0.12777	0.138297	0.149812	0.19216	0.272316	0.424558	-0.01682419	0.0152739	0.508872	0.00914868	0.0048238	0.458234	0.00364741	0.02875605	0.00026977	0.0241448	0.335444	3.64014	0.319304	0.280273	0.140682	0.25974	0.01193186	2.410022
470	-3720.992	-3711.029	-9.962872	0.2892116	0.1656876	0.220367	0.192708	0.0840589	0.167279	0.296362	0.63273	0.254098	0.593213	0.161697	0.108802	0.223883	0.014521	0.457135	0.147372	0.0766771	0.152439	0.198587	0.223895	0.1713779	0.2007446	0.0158519	0.503146	0.00507101	0.00390501	0.468601	0.00342547	0.1274107	0.00012704	0.0166128	0.288479	3.69478	0.311572	0.294465	0.126988	0.266974	0.3281553	0.3882633
480	-3721.943	-3719.077	-2.865436	0.3189863	0.2278784	0.249834	0.141287	0.0795368	0.246523	0.223409	0.334908	0.270924	0.452846	0.220187	0.0648995	0.167236	0.358441	0.153926	0.106835	0.250005	0.0687621	0.0131572	0.108436	0.1922728	0.1075413	0.0178704	0.525892	0.0119557	0.00187323	0.43762	0.00478965	0.0011493	0.0012359	0.051247	0.452458	3.49506	0.28955	0.314619	0.122914	0.272917	0.1086906	0.01057405
490	-3715.275	-3714.263	-1.012086	0.4978895	0.1915911	0.132292	0.161307	0.135387	0.378022	0.168425	0.265282	0.142051	0.367779	0.131398	0.0763671	0.229013	0.15638	0.0632606	0.145586	0.325752	0.00868192	0.000370358	0.354324	0.1930047	0.03105398	0.0119337	0.484252	0.0197201	0.000671824	0.48067	0.00275266	0.01030595	0.000392312	0.0290696	0.361357	3.60918	0.292884	0.299714	0.147854	0.259548	0.04135993	0.2491772
500	-3718.128	-3715.389	-2.738492	0.5077246	0.2434849	0.229215	0.225952	0.091781	0.141182	0.101614	0.293008	0.190393	0.414847	0.0950384	0.101519	0.293412	0.0787911	0.107962	0.0829952	0.443853	0.0703571	0.177976	0.373495	0.1934277	0.05317273	0.0136534	0.483822	0.0195116	0.000319638	0.480242	0.00245139	0.01502584	0.0018219	0.0620269	0.487543	3.44861	0.292624	0.302837	0.135422	0.269116	0.06819856	0.2203248
510	-3717.431	-3715.177	-2.254764	0.4612482	0.2234014	0.136243	0.107604	0.0254679	0.113063	0.133393	0.310225	0.235137	0.407467	0.138056	0.12005	0.382311	0.273491	0.168985	0.156531	0.123094	0.358295	0.0168294	0.0926129	0.179005	-0.1536032	0.0119105	0.486734	0.0149547	0.000801362	0.483133	0.00246615	0.1584451	0.00109465	0.048272	0.441943	3.50869	0.313463	0.303205	0.125147	0.258185	0.004841916	32.72364
