Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
370	-3729.87	-3722.658	-7.211844	0.4497397	0.1743081	0.275906	0.188651	0.39563	0.14723	0.191186	0.278503	0.13578	0.630301	0.278668	0.100453	0.263022	0.477735	0.0449522	0.261144	0.21473	0.363392	0.130927	0.118878	0.2297312	0.4742388	0.00672513	0.601289	0.00915354	0.00792202	0.372169	0.00274103	0.004578198	-1.470846	0.000191914	0.020391	0.313386	3.66603	0.286444	0.342972	0.116804	0.25378	0.478817	0.009561478
380	-3708.943	-3710.403	1.459292	0.4444763	0.1819016	0.17692	0.0827337	0.336503	0.132948	0.294192	0.127337	0.0995094	0.590687	0.220261	0.073556	0.130277	0.303741	0.0939557	0.140832	0.287544	0.118482	0.241867	0.131924	0.1776645	0.250347	0.012123	0.573125	0.00454308	0.00622606	0.402546	0.00143675	0.003074795	-1.727858	0.000267194	0.0240302	0.334803	3.6409	0.316782	0.303686	0.133617	0.245915	0.2534218	0.01213311
390	-3715.236	-3709.811	-5.425474	0.4623609	0.1702321	0.23295	0.0829953	0.314037	0.267247	0.344424	0.094526	0.122594	0.398709	0.259117	0.094846	0.242258	0.620398	0.325281	0.491336	0.123666	0.0741673	0.388036	0.297423	0.1858852	0.1115151	0.0134352	0.481274	0.00720205	0.00439495	0.492197	0.00149641	0.001059109	-1.682626	0.00015873	0.0185565	0.301683	3.6796	0.304727	0.286813	0.141875	0.266585	0.1125742	0.009408098
400	-3719.979	-3710.5	-9.478655	0.3794386	0.1882245	0.197124	0.110818	0.291693	0.202488	0.183157	0.189266	0.102791	0.303373	0.204465	0.135245	0.668473	0.398193	0.135811	0.606531	0.550338	0.136237	0.156392	0.757685	0.3048448	0.2345044	0.010246	0.536756	0.00449121	0.00817159	0.439155	0.00118008	0.001107155	-1.187953	0.000344848	0.0272703	0.352233	3.62015	0.323909	0.285898	0.12052	0.269672	0.2356116	0.004699069
410	-3713.143	-3712.809	-0.3344373	0.4756712	0.1596467	0.164195	0.128024	0.267099	0.159205	0.193807	0.130996	0.102354	0.602046	0.115375	0.0868753	0.331259	0.383683	0.278282	0.277247	0.313747	0.0824855	0.378024	0.30602	0.1822748	0.005922407	0.014501	0.572514	0.00649426	0.00893779	0.396449	0.00110406	0.001953351	-1.70224	9.26465e-05	0.0141998	0.270693	3.71501	0.29039	0.299663	0.118359	0.291588	0.007875758	0.2480207
420	-3709.012	-3710.875	1.862659	0.5414399	0.2028621	0.258565	0.164017	0.24983	0.161401	0.157861	0.119686	0.207539	0.369773	0.489919	0.0743296	0.242649	0.314857	0.232457	0.122377	0.111865	0.0427554	0.12864	0.146303	0.1564928	0.0124122	0.0145759	0.537339	0.00782126	0.00784916	0.43094	0.00147499	0.05973775	-1.854745	0.000585548	0.0354428	0.391086	3.57289	0.27366	0.31111	0.120833	0.294397	0.07214995	0.8279666
430	-3708.878	-3708.385	-0.4930499	0.4226267	0.2305027	0.116245	0.136071	0.489491	0.228617	0.305807	0.194705	0.203784	0.39085	0.194355	0.0851095	0.213867	0.312303	0.278196	0.184025	0.163881	0.0549475	0.23254	0.266991	0.1839782	0.02734633	0.0150927	0.485899	0.00654439	0.00799858	0.48329	0.00117469	0.1021906	-1.692938	0.00132411	0.0530168	0.458527	3.48713	0.309536	0.311534	0.137081	0.241849	0.1295369	0.7888917
440	-3710.98	-3709.707	-1.272464	0.4919862	0.1748555	0.0852426	0.0721914	0.310961	0.221605	0.232127	0.0963385	0.258438	0.476611	0.124879	0.0777127	0.549081	0.243801	0.12153	0.15267	0.307357	0.0495419	0.155982	0.263436	0.1739947	-0.08124782	0.0141651	0.542344	0.00680062	0.0117289	0.423853	0.00110806	0.125989	-1.74873	0.000196737	0.0206438	0.314946	3.66421	0.2998	0.310693	0.13557	0.253936	0.04474114	2.815953
450	-3706.818	-3703.945	-2.873294	0.4638403	0.1745628	0.112471	0.0690986	0.331283	0.270032	0.227244	0.13743	0.142593	0.557298	0.15126	0.0700648	0.127385	0.328466	0.403643	0.302551	0.0466928	0.0800916	0.217865	0.138938	0.1419225	0.2226076	0.00858312	0.545751	0.00688542	0.0113531	0.426517	0.000910446	0.04865669	-1.952474	0.000194147	0.0205084	0.314112	3.66519	0.3107	0.288412	0.12573	0.275159	0.2712643	0.17937
460	-3708.737	-3707.608	-1.129446	0.4548465	0.1586857	0.119673	0.0642027	0.337197	0.128347	0.201144	0.209599	0.143325	0.590338	0.140077	0.0509687	0.209809	0.175666	0.217275	0.101652	0.314598	0.0727192	0.300026	0.182892	0.1893415	0.06202631	0.0113739	0.600629	0.00635549	0.00930193	0.371694	0.000646316	0.1391849	-1.664203	8.79127e-05	0.0138342	0.267841	3.71824	0.29301	0.308736	0.124585	0.273669	0.2012112	0.6917353
