Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
22	0	-3727.096	-3717.271	-9.825213	0.6575851	0.2000743	0.156628	0.307186	0.0517705	0.11754	0.0866799	0.486035	0.327032	0.577498	0.154594	0.0757146	0.0527785	0.492014	0.0524331	0.0589457	0.188837	0.419792	0.347912	0.552478	0.2842295	-0.1938364	0.00569972	0.412416	0.0155935	0.00620479	0.553644	0.00644238	0.2131118	0.000532562	0.0338183	0.383852	3.5818	0.310068	0.324668	0.120975	0.244289	0.0192754	11.05616
23	1	-3714.689	-3710.878	-3.811416	0.6462599	0.1808397	0.461886	0.0977252	0.0262179	0.0621953	0.265931	0.0734693	0.173086	0.176513	0.06894	0.672986	0.0189625	0.15208	0.368634	0.0982328	0.0332097	0.00924378	0.419908	0.307	0.1262978	-0.01392049	0.0109852	0.471016	0.00779469	0.00364819	0.49931	0.00724606	0.04692151	0.000255538	0.0235044	0.331839	3.6444	0.286302	0.320822	0.140491	0.252385	0.03300102	1.42182
24	0	-3714.532	-3707.616	-6.916011	0.7077405	0.1563532	0.131148	0.0375649	0.0112843	0.101152	0.113221	0.246543	0.112557	0.618619	0.0874931	0.0442674	0.107896	0.65006	0.153552	0.192359	0.186152	0.0711829	0.106119	0.886005	0.2031977	-0.2233947	0.00983827	0.616575	0.00666357	0.0018868	0.357108	0.00792831	0.2540428	7.71969e-05	0.0129681	0.260895	3.72606	0.278514	0.304194	0.124567	0.292726	0.03064808	8.289029
25	1	-3713.461	-3705.945	-7.516144	0.6362734	0.1911261	0.364684	0.106758	0.0612866	0.161452	0.864032	0.209769	0.640497	0.147495	0.0496035	0.489075	0.222896	0.0939733	0.045296	0.0447584	0.434406	0.0293975	0.195345	0.303254	0.1909996	-0.02471204	0.0132209	0.515103	0.010526	0.0030848	0.452208	0.00585776	0.0452008	0.000385491	0.0288181	0.360104	3.61069	0.291378	0.302648	0.120484	0.28549	0.02048876	2.206127
26	0	-3728.969	-3718.428	-10.5414	0.6553452	0.1997275	0.214555	0.322724	0.0413748	0.128555	0.200608	0.358518	0.152625	0.718087	0.131309	0.0203728	0.0142113	0.526308	0.245212	0.0622275	0.0715392	0.0558795	0.325149	0.877854	0.2265435	-0.3444883	0.0103133	0.493184	0.00874343	0.0019186	0.46857	0.0172703	0.362567	0.000526217	0.0336184	0.382946	3.58291	0.266344	0.324528	0.125965	0.283164	0.01807871	20.05492
27	1	-3718.69	-3716.005	-2.685012	0.5978059	0.2062777	0.340417	0.118209	0.00993477	0.070332	0.297789	0.0948685	0.209834	0.227862	0.0641771	0.355064	0.106781	0.465306	0.402222	0.157249	0.117338	0.0602133	0.191093	0.289735	0.1768597	-0.02189526	0.0137881	0.511038	0.00851087	0.00314943	0.454717	0.00879595	0.03355485	0.000655403	0.0374738	0.399843	3.56203	0.295964	0.295102	0.120095	0.288839	0.01165959	2.877875
28	0	-3718.75	-3711.798	-6.951756	0.6013301	0.1791436	0.0844258	0.292835	0.0908985	0.118457	0.161026	0.355653	0.170971	0.577577	0.0796737	0.0679764	0.0978259	0.977576	0.425914	0.0579981	0.0324855	0.0571753	0.0852691	0.58439	0.188255	-0.01214764	0.0103013	0.492612	0.00868412	0.00167668	0.468026	0.0187002	0.04605443	0.000237706	0.0226758	0.327084	3.65	0.298184	0.302255	0.12245	0.27711	0.0339068	1.358266
29	1	-3719.759	-3714.932	-4.82743	0.6096725	0.2161696	0.215478	0.0938451	0.176892	0.460499	0.358914	0.157307	0.199888	0.352568	0.0860031	0.332248	0.0677709	0.366932	0.08043	0.0417055	0.292534	0.0897442	0.191	0.408888	0.2028358	-0.02026334	0.0115943	0.493699	0.00986863	0.0133059	0.463678	0.00785416	0.03721706	0.000890247	0.0435933	0.424528	3.53099	0.316503	0.280219	0.152817	0.250461	0.01695372	2.195215
30	0	-3715.562	-3711.415	-4.147512	0.4568446	0.1824252	0.119445	0.141182	0.0542826	0.160311	0.192688	0.468459	0.273564	0.527506	0.134484	0.0564226	0.0849986	0.354715	0.237059	0.0972193	0.144132	0.256505	0.0311151	0.277478	0.1380396	0.03692213	0.0115146	0.550631	0.00865123	0.00218238	0.406118	0.0209027	0.02639664	0.000273083	0.0242914	0.336261	3.63917	0.296451	0.304248	0.125946	0.273355	0.06331877	0.4168849
31	1	-3728.194	-3713.82	-14.37354	0.805883	0.1748911	0.656068	0.0992979	0.110303	0.736235	0.234062	0.153351	0.183559	0.63273	0.0335868	0.299239	0.0397989	0.0506881	0.083712	0.0492937	0.0886239	1.61463	0.188387	0.908784	0.3293579	-0.05443695	0.0126973	0.540663	0.00690121	0.0174143	0.416142	0.00618221	0.07449141	0.000197053	0.0206603	0.315048	3.66409	0.293674	0.307788	0.135879	0.262659	0.02005446	3.714456
32	0	-3717.142	-3711.501	-5.640564	0.4391453	0.1636178	0.160302	0.494414	0.380522	0.192039	0.176791	0.431022	0.282213	0.56508	0.168556	0.076462	0.15973	0.147419	0.165312	0.0720498	0.149625	0.0359811	0.0326115	0.414518	0.1855487	-0.002360575	0.0109775	0.548977	0.0057167	0.00446924	0.421531	0.00832775	0.03352454	0.000114315	0.0157638	0.282414	3.70171	0.307614	0.309995	0.116306	0.266085	0.03116397	1.075747
33	1	-3722.853	-3712.013	-10.8402	0.7017517	0.2265013	0.271915	0.0999069	0.00796163	0.0426902	1.06736	0.642885	0.684959	0.227475	0.0469709	0.424337	0.120752	0.368481	0.0418639	0.112914	0.173334	0.203021	0.174189	0.388632	0.2905996	-0.03661552	0.00971409	0.512736	0.00654473	0.0265039	0.434418	0.010084	0.08133328	0.00119122	0.0503258	0.449245	3.49924	0.301918	0.288357	0.139693	0.270032	0.04471776	1.818814
34	0	-3716.891	-3708.058	-8.833362	0.4530967	0.1850311	0.152423	0.809243	0.357982	0.248023	0.292898	0.557334	0.242699	0.394658	0.273535	0.0803247	0.261306	0.158268	0.143513	0.0966555	0.148226	0.0419884	0.00659177	0.293969	0.2977838	0.07148993	0.0123936	0.524712	0.00753736	0.00649187	0.439818	0.00904695	0.01731988	0.00030382	0.0256108	0.343477	3.63061	0.296362	0.298656	0.135925	0.269058	0.08880982	0.1950222
