Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
540	-3739.987	-3721.358	-18.6295	0.2782604	0.240582	0.2738742	0.3093346	0.0147714	0.485731	0.011584	0.00304125	0.478684	0.00618778	0.1018757	0.00170151	0.0599778	0.481199	3.45712	0.288752	0.305046	0.129137	0.277064	0.4112103	0.2477459
550	-3734.863	-3720.473	-14.39028	0.2882777	0.2092644	0.2619606	0.002265783	0.0165388	0.525644	0.00849005	0.00288847	0.441684	0.0047544	0.02158468	0.000721098	0.0392852	0.407401	3.55259	0.292055	0.305135	0.127876	0.274934	0.02385047	0.9050005
560	-3742.243	-3726.436	-15.80636	0.3036857	0.2039409	0.2789347	0.1043053	0.0131222	0.577	0.0082139	0.00106352	0.384907	0.0156939	0.04327285	0.000607014	0.0360795	0.393865	3.56945	0.280097	0.315985	0.12831	0.275608	0.1475782	0.2932199
570	-3742.668	-3727.877	-14.79065	0.3030772	0.2450646	0.2403179	-0.04807601	0.0097638	0.580933	0.00891974	0.000959983	0.387531	0.0118925	0.08294286	0.00188966	0.0631495	0.490961	3.444	0.316567	0.286885	0.135403	0.261145	0.03486685	2.378846
580	-3744.324	-3727.011	-17.31356	0.2936872	0.1780531	0.2690918	-0.1635209	0.00767688	0.422973	0.0119644	0.0011647	0.542171	0.0140498	0.2659909	0.000226737	0.0221504	0.324013	3.65361	0.307801	0.316318	0.133194	0.242687	0.1024701	2.595791
590	-3741.795	-3724.748	-17.04721	0.2992113	0.1976831	0.2672685	0.3115549	0.00825599	0.464593	0.0105199	0.00142184	0.503961	0.0112486	0.02151022	0.000489905	0.0324497	0.377584	3.58948	0.298018	0.288666	0.142543	0.270774	0.3330652	0.06458261
600	-3740.44	-3722.725	-17.71527	0.2874696	0.2182759	0.2596304	-0.3185045	0.0157227	0.529009	0.0123463	0.00137795	0.430813	0.0107315	0.375821	0.000946826	0.0449391	0.429656	3.52446	0.284456	0.303663	0.15343	0.258451	0.05731657	6.556935
610	-3738.636	-3722.033	-16.60337	0.2763309	0.227118	0.2830484	0.0247715	0.015522	0.548713	0.00595319	0.00580779	0.415493	0.00851149	0.1309536	0.00121109	0.0507376	0.450686	3.49737	0.306775	0.301951	0.13428	0.256994	0.1557251	0.840928
620	-3737.538	-3721.664	-15.87326	0.2366497	0.1846488	0.3102807	0.06082159	0.0120605	0.541392	0.0045493	0.00500581	0.421713	0.0152795	0.05369358	0.000299159	0.0254152	0.342422	3.63186	0.307075	0.281937	0.140886	0.270102	0.1145152	0.4688774
630	-3737.846	-3722.987	-14.85913	0.223398	0.2281664	0.2593684	0.01165298	0.0160607	0.521332	0.00562286	0.00382002	0.44082	0.012344	0.04801726	0.00124538	0.0514403	0.453127	3.49419	0.311235	0.291412	0.133585	0.263768	0.05967023	0.8047104
640	-3737.994	-3722.25	-15.74406	0.2475918	0.1930196	0.2550359	-0.1373031	0.0178325	0.446036	0.00624317	0.0090519	0.50648	0.0143572	0.177855	0.000413811	0.029848	0.365195	3.60454	0.294677	0.290043	0.156348	0.258932	0.04055194	4.385857
650	-3738.181	-3722.065	-16.11615	0.2408925	0.2008424	0.3210641	-0.1616175	0.0140002	0.43894	0.00680992	0.00750048	0.524703	0.00804693	0.172208	0.000546807	0.0342628	0.385853	3.57934	0.313347	0.284442	0.148278	0.253933	0.01059053	16.26056
660	-3739.259	-3721.49	-17.76945	0.1893952	0.1973875	0.3833067	0.2533415	0.0125519	0.506822	0.00741466	0.00465782	0.463088	0.00546527	0.03472128	0.000484806	0.0322821	0.376805	3.59043	0.293515	0.285066	0.151472	0.269947	0.2880628	0.1205337
670	-3736.919	-3719.327	-17.59224	0.2093688	0.2195316	0.327682	0.1790257	0.00885168	0.505001	0.0091513	0.00467478	0.464775	0.00754601	0.09072755	0.000981699	0.0457482	0.432691	3.52058	0.295942	0.294437	0.145061	0.26456	0.2697532	0.3363353
680	-3744.206	-3722.291	-21.91456	0.210694	0.1998162	0.3733219	-0.03928371	0.00688868	0.544056	0.00884594	0.00761285	0.423713	0.00888358	0.4240594	0.000527836	0.0336695	0.383178	3.58262	0.336133	0.287671	0.135838	0.240358	0.3847757	1.102095
690	-3741.056	-3722.774	-18.28177	0.2150997	0.2022463	0.3024252	-0.2581098	0.0110897	0.571928	0.00708775	0.00878996	0.394925	0.00617895	0.3629897	0.000573536	0.0350813	0.389495	3.57485	0.286389	0.302478	0.121837	0.289296	0.1048799	3.461005
700	-3740.751	-3722.455	-18.29657	0.211421	0.178892	0.3642419	0.1908164	0.0128751	0.474616	0.00778359	0.00897558	0.483422	0.0123275	0.1040241	0.000235141	0.0225541	0.326376	3.65083	0.313406	0.286978	0.12788	0.271735	0.2948405	0.3528148
710	-3738.715	-3723.591	-15.12401	0.1952371	0.1691583	0.2999184	0.07328458	0.00984746	0.541987	0.00641703	0.0163259	0.411345	0.0140773	0.009830959	0.000150756	0.0180874	0.298578	3.68318	0.307034	0.299829	0.128449	0.264688	0.08311554	0.1182806
720	-3743.729	-3727.857	-15.87168	0.205289	0.1573859	0.3249665	-0.06792363	0.00549803	0.546184	0.00578285	0.00684705	0.428003	0.0076851	0.1108263	8.1809e-05	0.0133478	0.263974	3.7226	0.266759	0.3024	0.134898	0.295943	0.04290272	2.583201
730	-3737.507	-3721.574	-15.9328	0.2161626	0.1908181	0.2840419	-0.1689867	0.0151478	0.538197	0.00569829	0.00865657	0.421745	0.010555	0.1898526	0.00038102	0.028652	0.359272	3.61169	0.288472	0.304175	0.143298	0.264055	0.02086589	9.098706
740	-3736.698	-3719.402	-17.29581	0.2123645	0.1940987	0.3154356	0.01445262	0.013696	0.561074	0.00675937	0.00222584	0.40488	0.0113652	0.1612035	0.000430605	0.0304419	0.368081	3.60105	0.304063	0.290936	0.131942	0.273059	0.1756562	0.9177221
750	-3740.556	-3723.442	-17.11366	0.1448462	0.1869028	0.3931879	0.218153	0.00945987	0.593302	0.00614678	0.0029067	0.376167	0.012018	0.01102762	0.000327407	0.0265778	0.348621	3.62447	0.2965	0.287882	0.120957	0.294662	0.2291807	0.04811759
760	-3739.571	-3722.473	-17.09763	0.1434341	0.1691538	0.4970896	-0.04891115	0.0076166	0.477696	0.00486375	0.00372276	0.498588	0.00751257	0.07452562	0.000150724	0.0180855	0.298565	3.6832	0.311789	0.289833	0.130534	0.267843	0.02561447	2.909512
770	-3742.529	-3725.953	-16.57562	0.161349	0.1792676	0.3596316	-0.09517647	0.0104878	0.466012	0.00634918	0.00636822	0.503454	0.00732883	0.1512296	0.000238977	0.0227359	0.327432	3.64959	0.322678	0.281244	0.134037	0.26204	0.05605315	2.697968
780	-3739.474	-3721.162	-18.31198	0.1503745	0.1780023	0.4358114	-0.06695548	0.0105742	0.52814	0.0074755	0.00642067	0.443609	0.00377989	0.1988803	0.000226236	0.0221261	0.323869	3.65378	0.309925	0.286367	0.128388	0.275321	0.1319249	1.507527
