Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
260	-14512.63	-14533.07	20.44147	0.122152	0.119217	0.105034	0.102048	0.125676	0.0825592	0.126233	0.0804646	0.0872947	0.189899	0.0663296	0.0722638	0.0962499	0.105272	0.11862	0.139869	0.123381	0.104643	0.159349	0.0625988	0.0734003	0.0731588	0.132381	0.0196505	0.04119	0.0195694	0.023238	0.0302449	0.038067	0.0230904	0.0214367	0.0330748	0.0200599	0.0870629	0.0264378	0.0390348	0.0136589	0.0377632	0.0591692	0.0177123	0.027352	0.0363281	0.0204518	0.216815	0.294573	0.0544853	0.0258175	0.395764	0.0125446	0.244843	0.225509	0.149132	0.380516	3.102687
270	-14509.21	-14530.32	21.11313	0.143704	0.0910351	0.087709	0.100734	0.0892078	0.0797593	0.109783	0.0704516	0.0912616	0.177333	0.0816497	0.0724634	0.0832104	0.11474	0.0982364	0.133467	0.11977	0.104643	0.112204	0.0840584	0.0890517	0.101022	0.145556	0.0273593	0.0486734	0.0273638	0.0141159	0.0363549	0.0344334	0.0234519	0.0233739	0.0372117	0.0240263	0.0828494	0.0226312	0.05331	0.0138066	0.030037	0.034405	0.0177677	0.033564	0.0477383	0.0219968	0.216853	0.295673	0.0546887	0.0259139	0.397242	0.0096292	0.239557	0.220641	0.145913	0.39389	3.03552
280	-14502.05	-14522.95	20.89846	0.142171	0.106012	0.10833	0.107831	0.0971468	0.0552695	0.102969	0.0822618	0.0800026	0.200592	0.0848651	0.0724634	0.100969	0.11474	0.123572	0.126617	0.119623	0.111926	0.118243	0.0833438	0.0751456	0.0745156	0.138277	0.0284498	0.0457807	0.0188466	0.0163318	0.0430953	0.0397346	0.0202253	0.0267068	0.0295771	0.0202185	0.0826206	0.0192374	0.0445133	0.0182801	0.0275105	0.0433704	0.0137596	0.00971629	0.0528552	0.0292713	0.222986	0.277365	0.0562354	0.0266467	0.408476	0.0082907	0.239557	0.220641	0.145913	0.39389	3.056987
290	-14504.13	-14525.9	21.77177	0.130925	0.100131	0.090037	0.0903243	0.107718	0.0720514	0.133004	0.0732747	0.102757	0.18397	0.0783495	0.0724634	0.0932377	0.0918549	0.114935	0.123876	0.0886245	0.114161	0.10088	0.08065	0.0787512	0.093898	0.146995	0.0248823	0.0476002	0.0175749	0.0189202	0.0418163	0.0435209	0.0097792	0.0257942	0.0316985	0.0175321	0.0840714	0.0223518	0.0399961	0.013715	0.03461	0.0324898	0.0246928	0.0112507	0.0230399	0.0414512	0.232957	0.290521	0.055606	0.0279106	0.384456	0.00855004	0.242968	0.219651	0.145258	0.392123	2.969656
300	-14506.73	-14528.61	21.88629	0.126954	0.0869849	0.101715	0.0899873	0.092792	0.0743151	0.109835	0.043961	0.0878582	0.197344	0.0900537	0.0785502	0.095907	0.105454	0.124132	0.126943	0.119802	0.0951567	0.100717	0.0753939	0.0652209	0.0713017	0.159536	0.0163908	0.0382466	0.0366551	0.0149388	0.0435991	0.0389885	0.0207818	0.0233332	0.032248	0.0368154	0.0848179	0.0309107	0.0277129	0.00961107	0.0340125	0.0423645	0.0129722	0.0140388	0.0342381	0.0456127	0.227982	0.284316	0.0529348	0.0340881	0.392312	0.00836743	0.242968	0.219651	0.145258	0.392123	2.958204
310	-14498.44	-14519.88	21.44135	0.133769	0.0940486	0.0983216	0.101811	0.109013	0.0589315	0.103824	0.068844	0.0948258	0.163983	0.0627408	0.106517	0.0928062	0.0981458	0.110132	0.120295	0.130421	0.10427	0.10241	0.0747927	0.0912015	0.091068	0.18404	0.020371	0.0381016	0.0354989	0.0147716	0.039001	0.0388628	0.0108974	0.0238921	0.0318941	0.0244594	0.0723229	0.0224427	0.032534	0.0115296	0.0370356	0.0343697	0.0177972	0.0225078	0.048261	0.029936	0.228589	0.285073	0.0499646	0.0305489	0.393356	0.012469	0.247375	0.223634	0.147892	0.381099	3.002698
320	-14503.07	-14523.65	20.5797	0.142296	0.0882212	0.0886997	0.0868644	0.109013	0.0627376	0.107254	0.0676303	0.114089	0.195928	0.0673159	0.0653118	0.117145	0.107347	0.110132	0.124744	0.126975	0.100944	0.122885	0.0710355	0.0928798	0.114295	0.147976	0.0229855	0.0321438	0.0229261	0.0141012	0.0409407	0.0485512	0.0159522	0.0344995	0.036851	0.0285442	0.0946113	0.0302495	0.0394306	0.0147041	0.0425258	0.0413289	0.0188985	0.0131055	0.0313263	0.0334685	0.227879	0.284188	0.0498095	0.0358077	0.392135	0.0101808	0.246962	0.224929	0.147646	0.380463	3.088863
330	-14499.43	-14520.81	21.37318	0.122006	0.0822836	0.0953188	0.10069	0.109013	0.0576683	0.110502	0.0587772	0.0819215	0.161983	0.0676739	0.0825087	0.0868406	0.0931249	0.103918	0.138228	0.150752	0.105162	0.112819	0.0936943	0.069143	0.102889	0.145355	0.0274004	0.042576	0.0269345	0.0235386	0.0458028	0.0368283	0.0112568	0.0289485	0.039696	0.019861	0.0983444	0.0206245	0.0431111	0.0124141	0.0277961	0.0474868	0.0162208	0.0232887	0.0575358	0.0275764	0.215181	0.268352	0.0566414	0.0320679	0.418144	0.00961353	0.241294	0.223383	0.163591	0.371731	3.009515
340	-14516.87	-14538.82	21.95572	0.140971	0.112234	0.0849307	0.100048	0.0863448	0.0659262	0.118418	0.0832324	0.074518	0.170624	0.0993121	0.0858292	0.0689689	0.08935	0.0988343	0.11383	0.122895	0.0995787	0.105543	0.0748979	0.10921	0.0944952	0.152896	0.0261523	0.032286	0.0287587	0.00849307	0.0565131	0.0372688	0.0256287	0.017915	0.0378944	0.0377585	0.0553122	0.0182957	0.0287487	0.0159589	0.0267899	0.0304407	0.0121398	0.0190607	0.0558508	0.0271072	0.218674	0.263201	0.0608669	0.0259594	0.417849	0.0134491	0.240342	0.233429	0.162946	0.363284	2.951261
350	-14506.4	-14526.77	20.36739	0.109337	0.102301	0.0929027	0.10668	0.121985	0.0781778	0.124479	0.082797	0.0936506	0.177579	0.0541568	0.0959852	0.106538	0.100946	0.0949327	0.113669	0.127493	0.113706	0.111861	0.0798398	0.10013	0.0936054	0.161752	0.0239647	0.0521684	0.0221759	0.0250899	0.0425803	0.0568487	0.0181198	0.0215662	0.0368809	0.0297502	0.0850237	0.027002	0.0339844	0.0077042	0.026174	0.0322077	0.0148785	0.0224029	0.0585973	0.0284728	0.232876	0.260279	0.0603524	0.0284292	0.41321	0.00485369	0.241565	0.229528	0.163775	0.365132	3.110095
