Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
370	-3717.775	-3714.158	-3.617244	0.4195597	0.1453313	0.208882	0.18894	0.0615032	0.0559526	0.243898	0.214899	0.255219	0.218934	0.055239	0.559934	0.0260534	0.151392	0.153662	0.511697	0.00986036	0.0479357	0.330461	0.298636	0.1541773	0.09277905	0.00984306	0.538474	0.00870295	0.000698307	0.440855	0.00142632	0.00864696	3.94717e-05	0.00928714	0.227702	3.76297	0.298718	0.310612	0.123223	0.267448	0.101426	0.08525387
380	-3717.502	-3708.681	-8.821494	0.5107971	0.1674117	0.476483	0.266433	0.103701	0.304457	0.311225	0.259516	0.256239	0.269551	0.045334	0.797931	0.25012	0.048469	0.123255	0.218087	0.0141223	0.225739	0.231238	0.266578	0.1692444	0.1387176	0.00851129	0.529875	0.0115231	0.00135924	0.446806	0.00192476	0.001804705	0.000138437	0.0173374	0.293507	3.68902	0.298345	0.310224	0.124318	0.267114	0.1405223	0.01284284
390	-3712.787	-3714.321	1.534243	0.6367207	0.217651	0.163674	0.0883545	0.063237	0.277071	0.155479	0.13081	0.103739	0.211431	0.052723	0.35686	0.108174	0.0106631	0.499616	0.0290141	0.230376	0.0408093	0.142222	0.193003	0.1583165	0.0567222	0.00997325	0.559444	0.0106144	0.00274921	0.415725	0.00149392	0.0013145	0.000929791	0.0445384	0.428139	3.52639	0.304106	0.303145	0.126719	0.26603	0.0580367	0.02264946
400	-3712.572	-3709.228	-3.344337	0.6649417	0.1906991	0.146503	0.0982446	0.0373321	0.27506	0.263953	0.174705	0.181055	0.167397	0.0586277	0.524082	0.00915224	0.030304	0.34173	0.0494185	0.292245	0.0797649	0.384044	0.48444	0.2176076	0.005880074	0.00972791	0.559652	0.0128434	0.00561632	0.410494	0.00166589	0.03048343	0.000379302	0.028588	0.358951	3.61208	0.298444	0.319759	0.125802	0.255995	0.0363635	0.8382974
410	-3715.883	-3711.327	-4.555241	0.552603	0.1443364	0.195641	0.122508	0.0635743	0.220795	0.184519	0.161613	0.185425	0.126493	0.0464495	0.423598	0.0633636	0.384478	0.286611	0.049917	0.0937087	0.146637	0.157173	0.363389	0.2310489	0.005839262	0.00687906	0.617129	0.00846235	0.00802942	0.357993	0.00150702	0.1500644	3.69654e-05	0.00898865	0.224683	3.76629	0.276099	0.309638	0.133665	0.280598	0.1559037	0.9625457
420	-3717.498	-3710.152	-7.345475	0.6666304	0.1969289	0.520221	0.110902	0.108765	0.106827	0.295919	0.198126	0.233378	0.266535	0.0343668	0.48932	0.115514	0.263462	0.0168725	0.0594176	0.149032	0.234518	0.091774	0.857556	0.2722271	-0.10717	0.00828565	0.523696	0.00905937	0.0206096	0.431193	0.00715587	0.1241481	0.00047697	0.0320227	0.375595	3.59191	0.29691	0.305063	0.128352	0.269675	0.01697814	7.312234
430	-3720.439	-3716.118	-4.320947	0.6232941	0.2105028	0.134763	0.0868865	0.150451	0.260158	0.22334	0.193077	0.352928	0.113946	0.0254698	0.618503	0.0813711	0.0266552	0.139373	0.0714909	0.156297	0.179139	0.353639	0.402367	0.2177139	-0.1072286	0.0127436	0.537487	0.00456095	0.0176865	0.417851	0.00967076	0.141264	0.000749637	0.0400458	0.410509	3.5487	0.312908	0.28317	0.138833	0.265089	0.03403538	4.150505
440	-3719.562	-3713.255	-6.307176	0.6586524	0.1895521	0.128114	0.127011	0.193931	0.509295	0.277547	0.183764	0.212632	0.144889	0.0280809	0.476553	0.0890764	0.0584632	0.150661	0.0590625	0.0681852	0.196663	0.428379	0.544259	0.2925061	-0.02371561	0.0124468	0.490139	0.00389028	0.0189371	0.469425	0.00516127	0.05456706	0.000363036	0.0279738	0.355844	3.61582	0.291741	0.297717	0.147017	0.263524	0.03085145	1.768703
450	-3722.497	-3712.057	-10.43974	0.4953317	0.2101202	0.186967	0.190986	0.371195	0.690476	0.659809	0.141694	0.415962	0.195582	0.0326418	0.461011	0.159435	0.0619084	0.292857	0.0749951	0.0924236	0.4071	0.205503	0.22907	0.347353	-0.00754838	0.0153374	0.490701	0.0111888	0.00981422	0.469964	0.00299486	0.0348266	0.000740738	0.0398103	0.409551	3.5499	0.277671	0.323754	0.141848	0.256727	0.02727822	1.276718
460	-3708.848	-3708.224	-0.6242064	0.6474569	0.2026769	0.182763	0.124065	0.0182864	0.04416	0.257099	0.157646	0.140113	0.131015	0.0680414	0.521148	0.114755	0.339541	0.195076	0.144947	0.0460897	0.0616241	0.277546	0.354923	0.1710848	-0.004201122	0.0140294	0.492025	0.0108472	0.00907613	0.468083	0.00593848	0.03530726	0.000581917	0.0353339	0.390608	3.57348	0.296711	0.288225	0.139301	0.275762	0.03110614	1.135058
