Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
20	0	-3777.855	-3724.21	-53.64423	8.882623	0.1712982	0.0705363	0.0138924	0.00188387	0.00386219	0.00498918	0.0056409	0.0128165	0.0100431	0.0312695	0.0120759	0.0106221	0.00314216	0.000247245	0.00140338	0.0128809	0.0296133	0.0319753	0.00394579	0.0742751	0.0764529	0.0187202	0.00984982	0.0560393	0.0200227	0.000134727	0.0244172	0.00846703	0.00229082	0.00705891	0.026682	0.0114635	0.0104649	0.00550907	0.00227909	0.00165099	0.000214083	0.00845396	0.00679313	0.0165087	0.0369428	0.0453465	0.0102732	0.01712732	-0.02531387	0.00962716	0.608443	0.0117762	0.00367913	0.348513	0.0179621	13.13408	0.1473313	7	42.89962	0.2976552	0.000166956	0.0190281	0.304757	3.67605	0.287466	0.31539	0.125692	0.271452	0.1220174	1.207461
21	1	-3763.669	-3716.869	-46.79984	4.215734	0.1834203	0.0148386	0.00130044	0.00286572	0.0503733	0.00753777	0.0175102	0.030067	0.00617788	0.0372588	0.000231029	0.00470229	0.0401679	0.023482	0.0150299	0.0417724	0.036549	0.0559245	0.00854537	0.00635617	0.0489294	0.0219087	0.00148855	0.0391461	0.0544968	0.00598687	0.109198	0.0214682	0.0194069	0.0110644	0.0107466	0.020372	0.0229183	0.0221463	0.00143617	0.0203842	0.00381949	0.0326116	0.0421306	0.0144342	0.0118866	0.00618867	0.00112494	0.02252128	-0.03261917	0.0063223	0.476496	0.0038209	0.00271919	0.490255	0.0203861	12.18404	0.1602509	8	39.35859	0.3167332	0.000284536	0.0247914	0.339024	3.6359	0.310669	0.307747	0.140639	0.240945	0.1276317	1.255573
22	0	-3771.988	-3728.475	-43.51313	8.803604	0.1899452	0.0611911	0.00463318	0.00193865	0.00840255	0.0046922	0.00447703	0.0114257	0.00722326	0.0256873	0.00909387	0.00782824	0.00142492	0.000130084	0.00182635	0.012057	0.0157336	0.0448816	0.0054341	0.0133864	0.0218524	0.0122813	0.0106016	0.0631424	0.00409966	0.000157958	0.0149036	0.0155306	0.00725125	0.0124023	0.0837995	0.00286741	0.00967582	0.00433093	0.00334391	0.00146721	8.46862e-05	0.0014053	0.00699195	0.000375768	0.0264747	0.0416887	0.00698277	0.01255363	0.008106518	0.0118583	0.609393	0.0099704	0.00704885	0.34783	0.0138998	13.70614	0.1140566	8	44.2454	0.1969625	0.000368552	0.0281837	0.35691	3.61454	0.309441	0.303986	0.114359	0.272214	0.1221631	0.9336418
23	1	-3757.933	-3712.077	-45.85603	4.686274	0.177254	0.0164235	0.00202593	0.00271444	0.0551208	0.00434418	0.0179621	0.0186985	0.00464907	0.0415019	0.000178995	0.00531515	0.0236001	0.0307956	0.0189391	0.0263575	0.0637609	0.0566632	0.00271289	0.00760738	0.0363855	0.0188597	0.00182444	0.0140947	0.042604	0.0116692	0.195469	0.00872205	0.0303735	0.0656731	0.00363196	0.0189807	0.015287	0.0195816	0.00264678	0.0305393	0.00238929	0.0125397	0.0349273	0.0060775	0.021587	0.0013348	0.00165603	0.02411185	0.07934382	0.011117	0.526078	0.00368702	0.00270292	0.445071	0.0113437	10.51767	0.09585228	8	37.44023	0.4543802	0.000218941	0.0217691	0.321755	3.65626	0.29233	0.309253	0.136114	0.262303	0.1751961	0.5471142
24	0	-3765.339	-3718.174	-47.16488	9.293888	0.18948	0.0532291	0.00684084	0.00286606	0.0124429	0.00146095	0.00400481	0.0163803	0.00732709	0.0198409	0.0118702	0.00562076	0.00222343	0.00017754	0.00110446	0.00611877	0.0451563	0.0654064	0.00647934	0.036362	0.0222873	0.0158879	0.00668335	0.0245491	0.00368171	0.0197546	0.0115787	0.0405209	0.0231814	0.0205638	0.0323824	0.00736051	0.0116228	0.00418623	0.00517234	0.00723578	0.00449543	0.000536641	0.0135661	0.000352596	0.0171881	0.0178268	0.0370913	0.01451259	0.03275957	0.012119	0.589871	0.0103106	0.00461927	0.370164	0.0129164	15.04518	0.1315714	8	44.6081	0.3178939	0.000362031	0.0279355	0.355649	3.61605	0.29171	0.307632	0.12441	0.276248	0.164331	0.8006488
25	1	-3757.489	-3711.144	-46.34477	5.370828	0.1770294	0.00424429	0.00378809	0.00214319	0.0233495	0.00272801	0.0136896	0.0310864	0.00805056	0.0200649	0.00932357	0.00791429	0.021572	0.0310325	0.0177464	0.0185503	0.0379135	0.0375925	0.00438438	0.00450213	0.023972	0.0260221	0.00110414	0.00585557	0.0116764	0.0168255	0.0857278	0.0164103	0.0130486	0.00199087	0.00831575	0.0231409	0.0489068	0.0146646	0.00762753	0.0300946	0.00514954	0.0306716	0.0273743	0.00541342	0.0307148	0.00061345	0.00120249	0.02368302	0.1073931	0.00899821	0.525944	0.00357127	0.00270223	0.444958	0.0138272	12.29145	0.1048162	6	37.58197	0.3792217	0.000216787	0.0216625	0.32112	3.657	0.326942	0.306105	0.128235	0.238718	0.2122093	0.4939284
26	0	-3764.776	-3714.886	-49.89005	6.61707	0.2345103	0.0507713	0.00861112	0.00198768	0.0152516	0.00193043	0.00361865	0.0119986	0.00962879	0.0225701	0.013327	0.00756382	0.00304178	0.000169447	0.000683529	0.00333363	0.0407815	0.060211	0.00300372	0.0382301	0.0140963	0.0153064	0.00818318	0.0213507	0.00538904	0.0426353	0.00792492	0.0404817	0.00269054	0.0192471	0.0276998	0.00413688	0.0154901	0.00944562	0.0277057	0.044772	0.00723262	0.00199244	0.00264963	0.000317424	0.0220031	0.0172785	0.0344523	0.0129568	0.03786411	0.00927004	0.473929	0.00682062	0.00590065	0.491078	0.0130011	18.20851	0.09732825	8	43.63164	0.26679	0.00146673	0.0557546	0.467662	3.47512	0.31689	0.321427	0.119546	0.242137	0.1351924	0.7199242
27	1	-3755.451	-3706.553	-48.89827	6.583469	0.1741215	0.00566278	0.00347781	0.00252808	0.0442459	0.0016746	0.015357	0.0211643	0.00800695	0.0316121	0.00591681	0.0134178	0.0291624	0.0380464	0.010647	0.0107508	0.0325154	0.0690192	0.00630739	0.00138185	0.0208697	0.0573013	0.00126862	0.0460391	0.0121489	0.011759	0.0831633	0.00369467	0.0266491	0.00579754	0.00307724	0.039317	0.0289752	0.00810167	0.0873468	0.0213375	0.00503021	0.0328368	0.0735136	0.0108154	0.0208164	0.0589208	0.00055364	0.02483131	0.1225493	0.00750989	0.553879	0.00434725	0.00254283	0.41871	0.0130115	11.21446	0.1053553	7	39.24704	0.4316876	0.00019029	0.0203051	0.312853	3.66665	0.303636	0.304176	0.118663	0.273525	0.2279047	0.4622781
28	0	-3763.81	-3711.364	-52.44607	7.05569	0.2153243	0.059103	0.00558603	0.00233195	0.014284	0.00163881	0.00595753	0.0604022	0.0118981	0.0211161	0.0127734	0.00524575	0.00136798	0.000446793	0.00120558	0.00538345	0.0475339	0.0834495	0.00260102	0.0316358	0.0196166	0.0118472	0.0129442	0.0209112	0.0101464	0.0337222	0.00218259	0.0273549	0.00260479	0.0295153	0.0292678	0.0173552	0.0248772	0.0156842	0.0101667	0.0381415	0.00692727	0.00043417	0.0158653	0.000426096	0.00625972	0.0143308	0.039131	0.01404998	0.02949443	0.0172208	0.47757	0.0100674	0.00962436	0.472417	0.0131006	14.20854	0.1113895	8	42.60127	0.2865446	0.000868209	0.0430573	0.422458	3.53362	0.272555	0.323637	0.14131	0.262498	0.1408839	0.7906473
29	1	-3765.014	-3716.241	-48.77309	5.325994	0.1655665	0.00747308	0.00513711	0.0067658	0.0388459	0.00194008	0.0116598	0.0248117	0.0140406	0.0285488	0.0260718	0.0131243	0.030164	0.0308702	0.0115494	0.00530065	0.0214802	0.0717803	0.00447153	0.00122595	0.0230895	0.0417711	0.00371914	0.0939717	0.0301431	0.0160208	0.0571922	0.00448351	0.0261717	0.00209115	0.0153844	0.0395312	0.00380489	0.00847263	0.00541146	0.0487228	0.0117373	0.0268412	0.042657	0.0229066	0.0156316	0.0536547	0.000844251	0.02090879	0.138386	0.00714515	0.474363	0.0141403	0.003745	0.490855	0.00975162	12.29179	0.1483673	7	37.7585	0.2785393	0.000126267	0.0165625	0.288125	3.69519	0.306465	0.313768	0.115512	0.264255	0.2867533	0.5174041
