Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
200	-3745.118	-3716.828	-28.29012	7.369218	0.1938382	0.044525	0.00628564	0.000852145	0.0213243	0.00399659	0.0114505	0.0195973	0.00730112	0.0230597	0.00860716	0.00367579	0.00743551	0.00173524	0.00319028	0.00382761	0.0109593	0.0373464	0.00583658	0.0170647	0.0164275	0.0200414	0.00239129	0.00160728	0.00356583	0.0106664	0.00258898	0.00497539	0.00991333	0.0142514	0.0337794	0.0121683	0.0175399	0.0045733	0.00786065	0.00395891	0.00585553	0.0111585	0.0018689	0.00103534	0.0163011	0.0102079	0.00263029	0.01395718	0.06585392	0.0199062	0.527232	0.015293	0.0021469	0.429837	0.00558524	15.49873	0.09688284	9	41.02669	0.3671004	0.000426507	0.030298	0.367385	3.60189	0.276348	0.300853	0.136518	0.286281	0.1627368	0.5953347
210	-3752.299	-3714.348	-37.95107	6.402904	0.212296	0.0240581	0.00670349	0.000275905	0.0704479	0.0059822	0.00191941	0.0177621	0.00871887	0.0287718	0.0135599	0.00761932	0.0076887	0.00382566	0.00850013	0.00684985	0.00318621	0.0496014	0.00153755	0.0226013	0.0150386	0.00717285	0.00267454	0.0047541	0.00494468	0.00729972	0.00226062	0.0218227	0.0443304	0.0288186	0.0283983	0.00896009	0.0215943	0.0083816	0.0145688	0.00542183	0.011079	0.0411914	0.00675188	0.0308501	0.0110711	0.0184248	0.0052805	0.014129	0.01305076	0.0194167	0.514266	0.0135155	0.00178019	0.440792	0.0102298	14.02615	0.1697844	9	38.07394	0.4179796	0.000792333	0.0411565	0.414981	3.54307	0.291324	0.288501	0.135827	0.284348	0.1828352	0.9286201
220	-3751.859	-3712.04	-39.819	6.726926	0.1862814	0.0317825	0.00222049	0.000155309	0.0218108	0.00727224	0.00171466	0.00963508	0.0110928	0.0240548	0.017621	0.0049291	0.00847727	0.0150588	0.024951	0.00206323	0.0235205	0.0688	0.00330305	0.0248547	0.0185236	0.0347907	0.0102866	0.00392034	0.00295641	0.00536878	0.00261748	0.011188	0.0431502	0.0180591	0.0164207	0.0128598	0.0205573	0.0101055	0.0123698	0.0263362	0.0103427	0.023568	0.0158782	0.00798354	0.0077779	0.0207562	0.0126043	0.01462965	0.06905596	0.0180618	0.47838	0.0104632	0.00107104	0.483951	0.00807269	18.14196	0.1215483	9	39.21319	0.3520886	0.000319433	0.026255	0.346917	3.62651	0.283164	0.314459	0.143432	0.258945	0.1906043	0.6376998
230	-3752.983	-3709.882	-43.10105	6.267409	0.205433	0.056026	0.00200221	0.000226196	0.0307929	0.00518102	0.00320287	0.0222531	0.0127914	0.038488	0.0214597	0.00470304	0.00513823	0.00595225	0.0195528	0.00305041	0.0118534	0.0539862	0.00103156	0.0225713	0.0310636	0.0192137	0.00583171	0.00139908	0.00890614	0.00905566	0.00184489	0.0099614	0.0404805	0.0137295	0.0222316	0.000623807	0.0208551	0.00667202	0.0168187	0.0267133	0.0127367	0.00438068	0.00897612	0.0130677	0.00435947	0.0282891	0.00457228	0.01945123	0.05315927	0.0119268	0.46246	0.00876928	0.00126821	0.508018	0.00755786	24.08726	0.1334498	8	38.52059	0.219147	0.00063761	0.0369674	0.397688	3.56471	0.30159	0.297606	0.135987	0.264818	0.1866091	0.7151303
240	-3759.873	-3710.087	-49.78633	6.169548	0.1690117	0.0482183	0.00263384	0.000851226	0.0148948	0.00322155	0.00120888	0.00656271	0.0102282	0.0391194	0.0243507	0.00563522	0.00401545	0.0161556	0.142335	0.00160893	0.0149039	0.0523163	0.000771543	0.0088404	0.00931082	0.0148681	0.00408612	0.0016854	0.0107089	0.0262331	0.00351764	0.0135864	0.0231994	0.0117245	0.0249005	0.00501909	0.00562258	0.00733667	0.0275206	0.0139962	0.0135347	0.0106534	0.0451452	0.00487755	0.00637413	0.0165233	0.00402601	0.01955113	0.02886806	0.0141957	0.469508	0.00731944	0.000901326	0.503899	0.00417612	19.26873	0.1457199	8	41.76896	0.255103	0.000149692	0.0180239	0.298153	3.68367	0.299509	0.289546	0.135049	0.275896	0.174588	0.8346504
250	-3759.385	-3720.328	-39.05693	6.360986	0.2137017	0.0261657	0.00532556	0.000659409	0.0279225	0.00865764	0.00192528	0.00309297	0.0142977	0.0359366	0.0221407	0.00870747	0.00777745	0.0100877	0.062679	0.000199961	0.0160722	0.0294966	0.000766239	0.0156445	0.0111278	0.0312517	0.00239215	0.00477479	0.01065	0.00364224	0.00402827	0.0119558	0.0370974	0.0146309	0.0250241	0.0153247	0.00480013	0.0106563	0.00770985	0.024463	0.0115931	0.0135266	0.0260584	0.00635036	0.00639691	0.00780399	0.0010922	0.01357428	0.08527902	0.0159211	0.448253	0.00473841	0.000253092	0.507012	0.0238229	20.60041	0.1019016	10	40.87197	0.1817282	0.000826959	0.042035	0.418463	3.53867	0.285687	0.299347	0.158252	0.256714	0.1871806	0.5444025
260	-3750.607	-3715.065	-35.54201	5.514173	0.210664	0.0262013	0.0280645	0.00202891	0.054568	0.0142952	0.000354414	0.00174312	0.0181087	0.0226881	0.0196274	0.00622579	0.00550731	0.0127441	0.0306207	0.000434431	0.015634	0.0129876	0.000795928	0.010854	0.00796229	0.0105486	0.00411961	0.0112818	0.00321293	0.0173781	0.00207972	0.0126824	0.0385678	0.00438163	0.0271786	0.00228715	0.0165678	0.0124964	0.00168648	0.0374495	0.00951701	0.0309762	0.0141098	0.0103031	0.0125915	0.0149747	0.00414045	0.01360751	0.04767583	0.0154415	0.506417	0.00687513	0.000118626	0.454894	0.0162541	21.12586	0.1102682	10	38.2994	0.3034216	0.000753409	0.0401452	0.410912	3.54819	0.297915	0.298922	0.143347	0.259816	0.157944	0.6981474
270	-3749.122	-3716.573	-32.54884	5.462839	0.1779161	0.019178	0.0136562	0.0057734	0.020437	0.00989158	0.000561636	0.00284692	0.018114	0.0180091	0.0200243	0.00562613	0.00120003	0.00764962	0.0249431	0.00119025	0.0214807	0.0148604	0.0003653	0.018219	0.0034155	0.00549678	0.00208789	0.0041169	0.00145276	0.0450755	0.00220001	0.000622528	0.00778568	0.00784646	0.0182525	0.000939638	0.0229515	0.0197093	0.00262626	0.0177924	0.00600659	0.0123041	0.0106596	0.0324596	0.0259935	0.0101577	0.000973855	0.01247155	0.03864417	0.0155504	0.509989	0.00731009	0.000152068	0.458102	0.00889654	31.39926	0.1267719	9	39.61971	0.2378212	0.000225386	0.0220848	0.323626	3.65406	0.304233	0.2954	0.132023	0.268344	0.1654161	0.766382
280	-3755.07	-3710.646	-44.42492	5.360556	0.1854854	0.063512	0.0044373	0.00532607	0.00834447	0.00667218	0.00110902	0.00385727	0.0149173	0.0293327	0.0155573	0.00685149	0.000982396	0.00871093	0.0411136	0.00240185	0.016259	0.0614236	0.000213012	0.0191862	0.00419584	0.00542849	0.00496045	0.0140851	0.00432228	0.0218291	0.000670817	0.00165679	0.000378436	0.0179215	0.035777	0.0122162	0.0254946	0.0203712	0.014927	0.0496599	0.00787088	0.0114519	0.0105897	0.02942	0.0142295	0.0107757	0.00108473	0.01338213	-0.003522101	0.0142585	0.505655	0.00505213	0.000119366	0.470076	0.00483906	25.5211	0.1557426	9	38.32344	0.257594	0.000309426	0.025844	0.344729	3.62912	0.292305	0.31672	0.131827	0.259148	0.1522205	1.023138
290	-3746.925	-3720.115	-26.80972	5.546914	0.2028384	0.00963954	0.00110141	0.0165169	0.00566288	0.0060296	0.001367	0.00270768	0.0123616	0.0261365	0.0100864	0.0112955	0.00343661	0.00863291	0.0211987	0.00525225	0.0132081	0.0443762	0.00022296	0.00645772	0.00643623	0.00535696	0.00285687	0.0067251	0.00350445	0.00521892	0.00308638	0.00047814	0.000235374	0.0215544	0.0259834	0.00560032	0.0151763	0.0065675	0.00546927	0.0165469	0.00930374	0.00426732	0.00385702	0.0217946	0.0170937	0.00600271	0.0241717	0.009795175	0.07414132	0.0168856	0.570685	0.00462262	0.000269188	0.402307	0.00523139	26.01418	0.07607987	9	40.224	0.2172417	0.000585082	0.0354288	0.391025	3.57296	0.291853	0.292257	0.138493	0.277397	0.1502212	0.5064523
