Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
200	-13135.21	-13116.57	-18.64418	0.8065894	0.319982	0.120455	0.268173	0.129566	0.237159	0.136555	0.251184	0.209234	0.110384	0.266106	0.0973921	0.149194	0.294305	0.23654	0.205952	0.327862	0.291744	0.215156	0.227929	0.0920515	0.149759	0.107235	0.448589	0.132221	0.082416	0.135221	0.154409	0.0672484	0.10997	0.115223	0.0540555	0.222969	0.143237	0.0233694	0.0463572	0.025169	0.0500557	0.0815282	0.14036	0.0144365	0.154955	0.108486	0.0267988	0.0425648	0.354867	0.0514755	0.0199483	0.483109	0.0480355	0.3528255	0.356454	0.359649	0.068853	0.215044	0.0969601	0.409774	0.958764	2.5345	6.780993
210	-13131.48	-13114.15	-17.33159	0.867183	0.305928	0.136439	0.141772	0.175519	0.188869	0.160715	0.203524	0.13919	0.156355	0.233498	0.111614	0.14968	0.192432	0.239018	0.194866	0.308365	0.221693	0.227521	0.268271	0.0790122	0.13659	0.097303	0.449533	0.0743137	0.0224425	0.233956	0.226148	0.0710001	0.0648506	0.107943	0.114818	0.312082	0.115233	0.016215	0.0502421	0.0504154	0.0446658	0.0821859	0.189184	0.00871016	0.12243	0.138142	0.0870498	0.0426104	0.355247	0.0418677	0.0285612	0.483627	0.048087	0.3528255	0.356454	0.359649	0.068853	0.215044	0.109754	0.432839	0.973963	2.48344	6.649733
220	-13140.57	-13111	-29.56926	0.7027828	0.360177	0.218868	0.277648	0.195036	0.2176	0.18616	0.296437	0.154342	0.190198	0.384506	0.144878	0.155471	0.272746	0.371719	0.295387	0.289326	0.39204	0.275783	0.293975	0.084877	0.202426	0.0951412	0.530542	0.123827	0.0105845	0.249986	0.196729	0.0325187	0.084382	0.036293	0.0841772	0.293882	0.142115	0.0161261	0.0491608	0.0588089	0.0620013	0.0287242	0.123795	0.0323862	0.178389	0.134537	0.0497944	0.0263616	0.359237	0.0642654	0.028882	0.489058	0.0321961	0.3528255	0.350825	0.362795	0.0694553	0.216925	0.0747828	0.36484	0.925895	2.63448	7.8735
230	-13138.2	-13102.43	-35.76765	0.6459879	0.373791	0.233812	0.225373	0.205132	0.284975	0.208227	0.271269	0.173991	0.216462	0.420129	0.134441	0.174793	0.234487	0.295917	0.203801	0.415497	0.327652	0.317544	0.386608	0.0778973	0.184725	0.148857	0.681047	0.0859309	0.029435	0.198617	0.266465	0.0961312	0.106189	0.102155	0.0618947	0.248384	0.203096	0.00985159	0.059077	0.05267	0.0921397	0.0748239	0.201828	0.041335	0.119829	0.163962	0.0830988	0.030171	0.328301	0.0385794	0.0263948	0.544357	0.0321973	0.3359967	0.354608	0.360681	0.0690505	0.215661	0.0627108	0.336891	0.903082	2.69732	8.493339
240	-13128.39	-13102.16	-26.22498	0.859884	0.358452	0.237555	0.239829	0.11319	0.295902	0.148478	0.248459	0.146967	0.186241	0.481787	0.134935	0.12587	0.258636	0.257414	0.246513	0.349879	0.308539	0.230522	0.241945	0.0940008	0.175777	0.0825615	0.517056	0.0909543	0.0476247	0.292925	0.195945	0.0600657	0.0690482	0.0626354	0.0719816	0.274449	0.122695	0.0421346	0.0249336	0.0929448	0.0697477	0.097798	0.135144	0.0384346	0.0848929	0.0951301	0.0890805	0.0373382	0.362096	0.0445408	0.0264535	0.473116	0.0564554	0.3530789	0.348106	0.372403	0.0677845	0.211707	0.108223	0.430171	0.97226	2.48935	7.539073
250	-13132.64	-13110.34	-22.30149	0.8944728	0.294495	0.110613	0.20482	0.133614	0.246335	0.168348	0.24899	0.158506	0.156639	0.385878	0.15987	0.160437	0.197463	0.277675	0.219685	0.31494	0.2649	0.293732	0.313692	0.0670775	0.124163	0.0827358	0.477001	0.065322	0.0542123	0.16888	0.248506	0.0831828	0.0802436	0.0879054	0.0550637	0.301332	0.189718	0.0247828	0.0845811	0.0978989	0.0702672	0.0689735	0.153134	0.0336115	0.0879154	0.0767088	0.0528761	0.0396343	0.352593	0.0508599	0.0190273	0.502211	0.0356752	0.3491547	0.341949	0.37592	0.0684247	0.213706	0.115448	0.442562	0.980049	2.46194	7.146723
260	-13125.25	-13104.24	-21.01131	0.8209623	0.245286	0.205221	0.211566	0.121168	0.232872	0.148556	0.253668	0.154151	0.175828	0.330307	0.115222	0.146934	0.250449	0.197541	0.247849	0.333664	0.304681	0.234987	0.233248	0.0940384	0.189098	0.12476	0.568452	0.0813473	0.0686035	0.195455	0.210351	0.018681	0.0597978	0.0962626	0.0782407	0.194299	0.166793	0.032395	0.0666121	0.0665208	0.0601302	0.0469714	0.178951	0.0450027	0.114004	0.0943264	0.0234149	0.0342315	0.423838	0.0542665	0.0229829	0.43375	0.0309307	0.3491547	0.341949	0.37592	0.0684247	0.213706	0.100011	0.415439	0.962598	2.52195	7.017705
270	-13127.17	-13104.49	-22.68011	0.9161076	0.310211	0.145272	0.206266	0.152794	0.259886	0.122343	0.227734	0.166671	0.216627	0.407986	0.132941	0.170036	0.256628	0.339645	0.227585	0.370197	0.274755	0.206321	0.210167	0.0963542	0.174867	0.104755	0.568452	0.098208	0.0306402	0.172961	0.186725	0.0432986	0.10041	0.0433749	0.0630572	0.261775	0.127426	0.0334929	0.0464899	0.0659723	0.0488927	0.0638628	0.177155	0.0315199	0.143831	0.0750239	0.0219765	0.0358225	0.381944	0.052296	0.0351543	0.45391	0.0408731	0.3491547	0.341949	0.37592	0.0684247	0.213706	0.119926	0.449998	0.984578	2.4455	7.184585
280	-13133.18	-13114.4	-18.77997	1.091828	0.362139	0.156129	0.204449	0.122387	0.296256	0.125449	0.23525	0.173126	0.119119	0.280273	0.174942	0.105683	0.194261	0.173906	0.244905	0.280593	0.302502	0.208512	0.267926	0.105501	0.182466	0.0981958	0.628175	0.0641586	0.0383236	0.207828	0.189962	0.0868171	0.0640661	0.0606901	0.0573452	0.168082	0.139159	0.029469	0.0323285	0.0717571	0.0504406	0.0641876	0.13907	0.0519195	0.134617	0.0787693	0.023438	0.0358208	0.380619	0.0636795	0.0351527	0.453889	0.030839	0.3577771	0.343464	0.369438	0.0672448	0.219853	0.154903	0.502714	1.01369	2.32869	6.794572
290	-13122.06	-13104.27	-17.78871	0.9118158	0.321016	0.110891	0.214298	0.15477	0.224863	0.147029	0.295535	0.127264	0.134943	0.312359	0.109678	0.138429	0.232777	0.235153	0.21047	0.291375	0.266051	0.217824	0.267926	0.0698063	0.146284	0.0768307	0.46467	0.116296	0.00705705	0.238243	0.150211	0.0335525	0.076912	0.0708473	0.0738226	0.237705	0.138053	0.028423	0.0684629	0.104121	0.0379465	0.0400361	0.197945	0.0280387	0.0815861	0.0999506	0.0959923	0.0347043	0.357369	0.0632954	0.0223613	0.483723	0.0385468	0.386905	0.341921	0.367779	0.0714339	0.218866	0.11904	0.448541	0.9837	2.44872	6.695445
300	-13140.22	-13117.69	-22.52719	1.020726	0.381605	0.173714	0.207313	0.129134	0.259634	0.232236	0.235862	0.123045	0.0951666	0.386893	0.159951	0.134523	0.26116	0.244799	0.218314	0.377377	0.327112	0.203245	0.252138	0.0842827	0.14159	0.153522	0.632493	0.0599119	0.00916919	0.208329	0.17423	0.045212	0.0867668	0.0383008	0.0475111	0.210729	0.105301	0.031268	0.0394268	0.0646496	0.0649861	0.0868616	0.233381	0.0367089	0.0574425	0.108693	0.0453077	0.0364002	0.325966	0.0663885	0.023454	0.507361	0.0404305	0.386905	0.341921	0.367779	0.0714339	0.218866	0.141071	0.482894	1.00335	2.37268	7.169293
310	-13125.67	-13108.15	-17.52268	0.8608852	0.257033	0.183268	0.216331	0.131112	0.203021	0.201925	0.227418	0.172123	0.114279	0.358492	0.133386	0.19959	0.217604	0.26145	0.20921	0.247242	0.251728	0.171858	0.277764	0.101798	0.168529	0.0983188	0.501098	0.0480959	0.0243819	0.209176	0.190754	0.0337924	0.0923719	0.0428792	0.0701598	0.205924	0.14126	0.0213472	0.0499346	0.044452	0.0504323	0.0289121	0.198985	0.032881	0.098393	0.106614	0.0735196	0.0391489	0.35058	0.0526777	0.0281591	0.497009	0.0324247	0.386905	0.341921	0.367779	0.0714339	0.218866	0.108433	0.430539	0.972496	2.48853	6.668843
